priority,visual_family_id,make,model_family,rank,score,source,title,query,downloaded_file,width,height,creator,creator_url,license,license_url,attribution,landing_url,image_url,sha256,review_status,rejection_reason
P0,VF-TOYOTA-VITZ-CELERIO-DERIVED-REGIONAL-GENERATION-HATCHBACK-CURRENT,Toyota,Vitz,2,28.0,wikimedia_commons,File:The frontview of No.279 Netz Toyota Nara Bam Vitz in Netz Cup Vitz Race 2019.jpg,Toyota Vitz car,,2000,1500,Tokumeigakarinoaoshima,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Tokumeigakarinoaoshima; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:The_frontview_of_No.279_Netz_Toyota_Nara_Bam_Vitz_in_Netz_Cup_Vitz_Race_2019.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ea/The_frontview_of_No.279_Netz_Toyota_Nara_Bam_Vitz_in_Netz_Cup_Vitz_Race_2019.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-VITZ-CELERIO-DERIVED-REGIONAL-GENERATION-HATCHBACK-CURRENT,Toyota,Vitz,3,27.0,wikimedia_commons,File:Toyota Vitz Racing 1001.jpg,Toyota Vitz car,,2000,1500,春夏秋冬奏慈,,Public domain,,春夏秋冬奏慈; Self-photographed; Public domain,https://commons.wikimedia.org/wiki/File:Toyota_Vitz_Racing_1001.jpg,https://upload.wikimedia.org/wikipedia/commons/c/cd/Toyota_Vitz_Racing_1001.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-TOYOTA-URBAN-CRUISER-REGIONAL-CURRENT-GENERATION-CROSSOVER-CURRENT,Toyota,Urban Cruiser,0,-999,none,NO_ACCEPTABLE_CANDIDATE,Toyota Urban Cruiser Regional current generation crossover car | Toyota Urban Cruiser car,,,,,,,,,,,,PENDING,No commercially transformable candidate passed filters.
P0,VF-TOYOTA-STARLET-CROSS-REGIONAL-CURRENT-GENERATION-CROSSOVER-CURRENT,Toyota,Starlet Cross,1,27.0,wikimedia_commons,File:Rough early Toyota Starlet 1978-80 60 series. (10714090603).jpg,Toyota Starlet Cross car,,2000,1333,Charlie from United Kingdom,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Charlie from United Kingdom; Rough early Toyota Starlet 1978-80 60 series.; CC BY 2.0,https://commons.wikimedia.org/wiki/File:Rough_early_Toyota_Starlet_1978-80_60_series._(10714090603).jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Rough_early_Toyota_Starlet_1978-80_60_series._%2810714090603%29.jpg/3840px-Rough_early_Toyota_Starlet_1978-80_60_series._%2810714090603%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-VOLKSWAGEN-POLO-VIVO-VIVO-FAMILY-HATCHBACK-MAJOR-FACELIFT-SPLIT,Volkswagen,Polo Vivo,0,-999,none,NO_ACCEPTABLE_CANDIDATE,Volkswagen Polo Vivo Vivo family hatch car | Volkswagen Polo Vivo Major facelift split car | Volkswagen Polo Vivo car,,,,,,,,,,,,PENDING,No commercially transformable candidate passed filters.
P0,VF-VOLKSWAGEN-POLO-AW-MK6-HATCHBACK-PRE-FACELIFT-FACELIFT,Volkswagen,Polo,1,28.0,wikimedia_commons,File:2011 Volkswagen Polo S 60 1.2 Front.jpg,Volkswagen Polo car,,2000,1088,Vauxford,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Vauxford; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2011_Volkswagen_Polo_S_60_1.2_Front.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/2011_Volkswagen_Polo_S_60_1.2_Front.jpg/3840px-2011_Volkswagen_Polo_S_60_1.2_Front.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-VOLKSWAGEN-POLO-AW-MK6-HATCHBACK-PRE-FACELIFT-FACELIFT,Volkswagen,Polo,2,27.0,wikimedia_commons,File:Volkswagen Polo R WRC - Mondial de l'Automobile de Paris 2014 - 002.jpg,Volkswagen Polo car,,2000,1333,Thesupermat,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Thesupermat; Own work; CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File:Volkswagen_Polo_R_WRC_-_Mondial_de_l'Automobile_de_Paris_2014_-_002.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Volkswagen_Polo_R_WRC_-_Mondial_de_l%27Automobile_de_Paris_2014_-_002.jpg/3840px-Volkswagen_Polo_R_WRC_-_Mondial_de_l%27Automobile_de_Paris_2014_-_002.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-VOLKSWAGEN-POLO-AW-MK6-HATCHBACK-PRE-FACELIFT-FACELIFT,Volkswagen,Polo,3,27.0,wikimedia_commons,File:1982 Volkswagen Polo C (13389584544).jpg,Volkswagen Polo car,,2000,1327,Charlie from United Kingdom,,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Charlie from United Kingdom; 1982 Volkswagen Polo C; CC BY 2.0,https://commons.wikimedia.org/wiki/File:1982_Volkswagen_Polo_C_(13389584544).jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/1982_Volkswagen_Polo_C_%2813389584544%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-FORD-RANGER-T6-SINGLE-DOUBLE-CAB-MAJOR-FACELIFT-SPLIT,Ford,Ranger,1,27.0,wikimedia_commons,File:2015 Ford Ranger XLT Double Cab (New Zealand).jpg,Ford Ranger T6 car,,2000,1104,NZ Car Freak,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,NZ Car Freak; Own work; CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:2015_Ford_Ranger_XLT_Double_Cab_(New_Zealand).jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/2015_Ford_Ranger_XLT_Double_Cab_%28New_Zealand%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-FORD-RANGER-T6-SINGLE-DOUBLE-CAB-MAJOR-FACELIFT-SPLIT,Ford,Ranger,2,27.0,wikimedia_commons,"File:Ford Ranger III - Bissy, 2016.jpg",Ford Ranger T6 car,,2000,1500,Anthony Levrot,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Anthony Levrot,"https://commons.wikimedia.org/wiki/File:Ford_Ranger_III_-_Bissy,_2016.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Ford_Ranger_III_-_Bissy%2C_2016.jpg/3840px-Ford_Ranger_III_-_Bissy%2C_2016.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-FORD-RANGER-T6-SINGLE-DOUBLE-CAB-MAJOR-FACELIFT-SPLIT,Ford,Ranger,3,27.0,wikimedia_commons,"File:E.ON Ford Ranger XL at the railway station, 2017 Mór.jpg",Ford Ranger T6 car,,2000,1500,Globetrotter19,,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Globetrotter19; Own work; CC BY-SA 3.0,"https://commons.wikimedia.org/wiki/File:E.ON_Ford_Ranger_XL_at_the_railway_station,_2017_Mór.jpg",https://upload.wikimedia.org/wikipedia/commons/d/db/E.ON_Ford_Ranger_XL_at_the_railway_station%2C_2017_M%C3%B3r.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-FORD-RANGER-P703-SINGLE-DOUBLE-CAB-CURRENT,Ford,Ranger,1,30.0,wikimedia_commons,"File:Leimershof 7. US-Car-Treffen Ford Ranger (T6, P703)-20230910-RM-162447.jpg",Ford Ranger P703 car,,2000,1255,Ermell,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Ermell; Own work; CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Leimershof_7._US-Car-Treffen_Ford_Ranger_(T6,_P703)-20230910-RM-162447.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Leimershof_7._US-Car-Treffen_Ford_Ranger_%28T6%2C_P703%29-20230910-RM-162447.jpg/3840px-Leimershof_7._US-Car-Treffen_Ford_Ranger_%28T6%2C_P703%29-20230910-RM-162447.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-FORD-RANGER-P703-SINGLE-DOUBLE-CAB-CURRENT,Ford,Ranger,2,30.0,wikimedia_commons,"File:Ford Ranger (T6, P703) Wildtrak IMG 7320.jpg",Ford Ranger car,,2000,1129,Alexander-93,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Alexander-93; Own work; CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:Ford_Ranger_(T6,_P703)_Wildtrak_IMG_7320.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Ford_Ranger_%28T6%2C_P703%29_Wildtrak_IMG_7320.jpg/3840px-Ford_Ranger_%28T6%2C_P703%29_Wildtrak_IMG_7320.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-FORD-RANGER-P703-SINGLE-DOUBLE-CAB-CURRENT,Ford,Ranger,3,27.0,wikimedia_commons,File:'79 Ford F-150 Ranger (Toronto Spring '12 Classic Car Auction).JPG,Ford Ranger car,,2000,1443,Bull-Doser at English Wikipedia,,Public domain,,Bull-Doser at English Wikipedia; Own work .; Public domain,https://commons.wikimedia.org/wiki/File:'79_Ford_F-150_Ranger_(Toronto_Spring_'12_Classic_Car_Auction).JPG,https://upload.wikimedia.org/wikipedia/commons/a/a6/%2779_Ford_F-150_Ranger_%28Toronto_Spring_%2712_Classic_Car_Auction%29.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,,PENDING,
P0,VF-ISUZU-D-MAX-2ND-GENERATION-SINGLE-EXTENDED-DOUBLE-CAB-MAJOR-FACELIFT-SPL,Isuzu,D-Max,1,30.0,wikimedia_commons,"File:ISUZU D-MAX (SECOND GENERATION, FACELIFT) CAMPING CAR IN CHINA.jpg",Isuzu D-Max car,,2000,1246,Dinkun Chen,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dinkun Chen; Own work; CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:ISUZU_D-MAX_(SECOND_GENERATION,_FACELIFT)_CAMPING_CAR_IN_CHINA.jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/ISUZU_D-MAX_%28SECOND_GENERATION%2C_FACELIFT%29_CAMPING_CAR_IN_CHINA.jpg/3840px-ISUZU_D-MAX_%28SECOND_GENERATION%2C_FACELIFT%29_CAMPING_CAR_IN_CHINA.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
P0,VF-ISUZU-D-MAX-2ND-GENERATION-SINGLE-EXTENDED-DOUBLE-CAB-MAJOR-FACELIFT-SPL,Isuzu,D-Max,2,30.0,wikimedia_commons,"File:ISUZU D-MAX (SECOND GENERATION, FACELIFT) CAMPING CAR IN CHINA (2).jpg",Isuzu D-Max car,,2000,1288,Dinkun Chen,,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Dinkun Chen; Own work; CC BY-SA 4.0,"https://commons.wikimedia.org/wiki/File:ISUZU_D-MAX_(SECOND_GENERATION,_FACELIFT)_CAMPING_CAR_IN_CHINA_(2).jpg",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/ISUZU_D-MAX_%28SECOND_GENERATION%2C_FACELIFT%29_CAMPING_CAR_IN_CHINA_%282%29.jpg/3840px-ISUZU_D-MAX_%28SECOND_GENERATION%2C_FACELIFT%29_CAMPING_CAR_IN_CHINA_%282%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,,PENDING,
