Brand,Coverage Source,In 7zap 70,China-origin/China-market,Priority,Default Include,Reference URL,Notes
Dacia,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Daewoo,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Datsun,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Dodge,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Eagle,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Fiat,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Ford,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
GAZ,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Genesis,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Geo,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
GMC,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Holden,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Honda,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Hummer,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Hyundai,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Infiniti,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Jeep,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Jetta,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Kia,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Lancia,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Lexus,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Maybach,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Mazda,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Mercedes-Benz,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
MG,7zap coverage reference,Yes,Yes,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
MINI,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Mitsubishi,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Nissan,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Oldsmobile,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Opel,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Peugeot,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Plymouth,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Pontiac,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Porsche,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
RAM,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Renault,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Rising Auto,7zap coverage reference,Yes,Yes,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Roewe,7zap coverage reference,Yes,Yes,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Rolls-Royce,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Saab,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Saturn,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Scion,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
SEAT,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Škoda,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Smart,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
SsangYong,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Subaru,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Suzuki,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Tank,7zap coverage reference,Yes,Yes,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Toyota,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Vauxhall,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
VAZ,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Venucia,7zap coverage reference,Yes,Yes,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
VinFast,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Volkswagen,7zap coverage reference,Yes,No,P0,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Volvo,7zap coverage reference,Yes,No,P1,Yes,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
WiLL,7zap coverage reference,Yes,No,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Zinoro,7zap coverage reference,Yes,Yes,P2,No,https://7zap.com/en/catalog/cars/,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Acura,Added regional/global gap,No,No,P2,No,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Daihatsu,Added regional/global gap,No,No,P1,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Isuzu,Added regional/global gap,No,No,P0,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Jaguar,Added regional/global gap,No,No,P1,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Land Rover,Added regional/global gap,No,No,P0,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Lincoln,Added regional/global gap,No,No,P2,No,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Mahindra,Added regional/global gap,No,No,P0,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Perodua,Added regional/global gap,No,No,P2,No,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Proton,Added regional/global gap,No,No,P2,No,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Tata,Added regional/global gap,No,No,P1,Yes,,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Aion,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Aito,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Arcfox,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Avatr,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
BAIC,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Baojun,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Bestune,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
BYD,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Changan,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Chery,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Deepal,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Denza,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
DFSK,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Dongfeng,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Exeed,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Fangchengbao,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
FAW,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Foton,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
GAC,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Geely,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Geely Galaxy,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
GWM,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Haval,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Hongqi,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
IM Motors,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
JAC,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
JAECOO,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Jetour,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Leapmotor,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
LEPAS,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Li Auto,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Lynk & Co,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Maxus,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Neta,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
NIO,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
OMODA,TecAlliance China / added China universe,No,Yes,P0,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
ORA,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Radar/Riddara,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Seres,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Voyah,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Wuling,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
XPeng,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Xiaomi,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Yangwang,TecAlliance China / added China universe,No,Yes,P2,No,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
Zeekr,TecAlliance China / added China universe,No,Yes,P1,Yes,https://catalog.tecalliance.cn/catalog/tecalliance/en,Resolve model/year/sales-version via licensed/open provider; normalize visible body into Dial VISUAL_FAMILY_ID.
